City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
258,port elizabeth,40,ZA,1592279950,100,-33.92,25.57,50.0,2.59
259,berezanka,20,UA,1592280377,88,46.85,31.39,62.6,2.0
260,te anau,100,NZ,1592279840,86,-45.42,167.72,52.898000000000025,2.8
261,maldonado,61,UY,1592280377,97,-34.67,-54.92,57.00200000000008,4.47
262,aykhal,90,RU,1592279870,58,66.0,111.5,53.6,4.0
263,maniitsoq,98,GL,1592279800,84,65.42,-52.9,37.346000000000046,2.91
264,touros,40,BR,1592280050,94,-5.2,-35.46,77.0,2.6
265,san andres,40,CO,1592280357,88,12.58,-81.7,80.6,4.6
266,soyo,9,AO,1592280328,92,-6.13,12.37,70.77200000000005,2.1
267,erzin,6,TR,1592280378,86,36.96,36.2,71.00600000000003,0.78
268,nangavalli,40,IN,1592280378,66,11.75,77.88,86.0,2.1
269,pyaozerskiy,98,RU,1592280378,80,65.83,31.17,49.208000000000006,4.63
270,tessalit,0,ML,1592280378,12,20.2,1.01,89.90600000000003,4.91
271,alta floresta,55,BR,1592280116,75,-9.88,-56.09,72.08600000000007,1.53
272,joshimath,4,IN,1592280379,31,30.57,79.57,72.89600000000004,2.52
273,sitka,75,US,1592279830,67,57.05,-135.33,57.2,5.1
274,kodinsk,1,RU,1592279821,37,58.69,99.18,64.34600000000006,3.08
275,grindavik,75,IS,1592280380,93,63.84,-22.43,42.8,5.1
276,tiksi,100,RU,1592280099,75,71.69,128.87,54.248000000000026,9.32
277,manta,65,EC,1592279789,83,-0.95,-80.73,71.924,5.63
278,rorvik,95,NO,1592280380,94,64.86,11.24,53.708000000000006,2.36
279,yarmouth,1,US,1592280380,87,41.71,-70.23,57.992,4.87
280,moussoro,53,TD,1592280380,40,13.64,16.49,88.57400000000001,2.31
281,hanzhong,100,CN,1592280381,92,33.07,107.03,73.07600000000009,1.06
282,kiunga,62,PG,1592279797,83,-6.12,141.29,83.40800000000002,1.86
283,chuy,59,UY,1592279987,93,-33.7,-53.46,56.102000000000075,3.71
284,gorontalo,6,ID,1592279802,66,0.54,123.06,86.99000000000002,1.3
285,gunjur,5,GM,1592280094,94,13.2,-16.73,78.80000000000001,4.48
286,san ignacio,79,BZ,1592279868,73,17.16,-89.07,78.00800000000001,0.83
287,yantzaza,99,EC,1592280382,84,-3.83,-78.76,66.12800000000007,0.22
288,nabire,100,ID,1592279846,84,-3.37,135.48,78.78200000000001,2.78
289,hambantota,75,LK,1592280382,79,6.12,81.12,87.80000000000001,7.2
290,kibuye,49,RW,1592280382,71,-2.06,29.35,62.852000000000075,1.47
291,zhanakorgan,0,KZ,1592280242,33,43.91,67.25,69.42200000000004,8.62
